city,state,latitude,longitude,population
New York,NY,40.7128,-74.0060,8419000
Los Angeles,CA,34.0522,-118.2437,3980000
Chicago,IL,41.8781,-87.6298,2716000
Houston,TX,29.7604,-95.3698,2313000
Phoenix,AZ,33.4484,-112.0740,1680000
Philadelphia,PA,39.9526,-75.1652,1584000
San Antonio,TX,29.4241,-98.4936,1547000
San Diego,CA,32.7157,-117.1611,1423000
Dallas,TX,32.7767,-96.7970,1331000
San Jose,CA,37.3382,-121.8863,1022000
