keyword,category,priority
Plumber,Home Services,1
Electrician,Home Services,1
Dentist,Healthcare,1
Restaurant,Food & Dining,1
Hair Salon,Beauty & Wellness,1
Auto Repair,Automotive,1
House Cleaning,Home Services,2
Landscaping,Home Services,2
Gym,Health & Fitness,2
Coffee Shop,Food & Dining,2
